,Clase de la via,Particula de la via,Nombre de la via,Codigo de vía,Distritos atravesados,Literal completo del vial 
2269,CALLE                   ,DE    ,ALONSO HEREDIA                                  ,35200,4.0,CALLE DE ALONSO HEREDIA                                        
2270,PLAZA                   ,DE    ,ALONSO MARTINEZ                                 ,35300,1.0,PLAZA DE ALONSO MARTÍNEZ                                       
2271,CALLE                   ,DE    ,ALONSO MARTOS                                   ,35400,2.0,CALLE DE ALONSO MARTOS                                         
2272,CALLE                   ,DE    ,ALONSO NUÑEZ                                    ,35500,6.0,CALLE DE ALONSO NÚÑEZ                                          
2273,CALLE                   ,DE    ,ALONSO QUIJANO                                  ,35600,8.0,CALLE DE ALONSO QUIJANO                                        
2274,CALLE                   ,DE    ,ALONSO SAAVEDRA                                 ,35700,16.0,CALLE DE ALONSO SAAVEDRA                                       
2275,PLAZA                   ,DE    ,ALOSNO                                          ,35750,19.0,PLAZA DE ALOSNO                                                
2276,CALLE                   ,DE    ,ALORA                                           ,35800,13.0,CALLE DE ALORA                                                 
2277,CALLE                   ,DE    ,ALOZAINA                                        ,36000,12.0,CALLE DE ALOZAINA                                              
2278,CALLE                   ,DE    ,ALPEDRETE                                       ,36300,2.0,CALLE DE ALPEDRETE                                             
2279,CALLE                   ,DE LA ,ALQUIMIA                                        ,36400,20.0,CALLE DE LA ALQUIMIA                                           
2280,CALLE                   ,DE    ,ALSASUA                                         ,36500,9.0,CALLE DE ALSASUA                                               
2281,CALLE                   ,DE    ,ALTAIR                                          ,36775,9.0,CALLE DE ALTAIR                                                
2282,CALLE                   ,DE    ,ALTAMIRA                                        ,36800,15.0,CALLE DE ALTAMIRA                                              
2283,CALLE                   ,DE    ,ALTAMIRANO                                      ,37000,9.0,CALLE DE ALTAMIRANO                                            
2284,CALLE                   ,DE    ,ALTEA                                           ,37100,9.0,CALLE DE ALTEA                                                 
2285,ALTO                    ,DEL   ,ARENAL                                          ,37500,13.0,ALTO DEL ARENAL                                                
2286,CALLE                   ,DEL   ,ALTO DEL LEON                                   ,37575,13.0,CALLE DEL ALTO DEL LEÓN                                        
2287,CALLE                   ,DE LOS,ALTOS DE CABREJAS                               ,37700,13.0,CALLE DE LOS ALTOS DE CABREJAS                                 
2288,CALLE                   ,DE LOS,ALTOS DE LILLO                                  ,37750,18.0,CALLE DE LOS ALTOS DE LILLO                                    
2289,CALLE                   ,DE LOS,ALTOS DE SACERUELA                              ,37800,18.0,CALLE DE LOS ALTOS DE SACERUELA                                
2290,CALLE                   ,DEL   ,ALTOZANO                                        ,37900,9.0,CALLE DEL ALTOZANO                                             
2291,CALLE                   ,DE    ,ALUCAS                                          ,38000,15.0,CALLE DE ALUCAS                                                
2292,CALLE                   ,DEL   ,ALUMINIO                                        ,38100,17.0,CALLE DEL ALUMINIO                                             
2293,CALLE                   ,DE    ,ALUSTANTE                                       ,38200,5.0,CALLE DE ALUSTANTE                                             
2294,CALLE                   ,DE    ,ALVARADO                                        ,38300,6.0,CALLE DE ALVARADO                                              
2295,CALLE                   ,DE    ,ALVAREZ                                         ,38400,6.0,CALLE DE ÁLVAREZ                                               
2296,CALLE                   ,DE    ,ALVAREZ ABELLAN                                 ,38600,11.0,CALLE DE ÁLVAREZ ABELLÁN                                       
2297,CALLE                   ,DE    ,ALVAREZ DE BAENA                                ,38800,5.0,CALLE DE ÁLVAREZ DE BAENA                                      
2298,CALLE                   ,DE    ,ALVAREZ GATO                                    ,38900,1.0,CALLE DE ÁLVAREZ GATO                                          
2299,CALLE                   ,DE    ,ALVARO CABALLERO                                ,39000,9.0,CALLE DE ÁLVARO CABALLERO                                      
2300,CALLE                   ,DE    ,ALZOLA                                          ,39200,12.0,CALLE DE ALZOLA                                                
2301,CALLE                   ,DE    ,AMADEO FERNANDEZ                                ,39500,17.0,CALLE DE AMADEO FERNÁNDEZ                                      
2302,CALLE                   ,DE    ,AMADEO GOMEZ                                    ,39600,8.0,CALLE DE AMADEO GÓMEZ                                          
2303,CALLE                   ,DE    ,AMADEO I                                        ,39700,13.0,CALLE DE AMADEO I                                              
2304,CALLE                   ,DE    ,AMADO NERVO                                     ,39900,3.0,CALLE DE AMADO NERVO                                           
2305,CALLE                   ,DE    ,AMADOR Y FERNANDO                               ,40000,9.0,CALLE DE AMADOR Y FERNANDO                                     
2306,CALLE                   ,DE    ,AMADOR DE LOS RIOS                              ,40100,7.0,CALLE DE AMADOR DE LOS RÍOS                                    
2307,CALLE                   ,DE    ,AMADOR VALDES                                   ,40200,15.0,CALLE DE AMADOR VALDÉS                                         
2308,CALLE                   ,DE    ,AMALARICO                                       ,40300,11.0,CALLE DE AMALARICO                                             
2309,PASAJE                  ,DE    ,AMALARICO                                       ,40400,11.0,PASAJE DE AMALARICO                                            
2310,CALLE                   ,DE    ,AMALIA                                          ,40500,6.0,CALLE DE AMALIA                                                
2311,CALLE                   ,DEL   ,AMANECER                                        ,40600,11.0,CALLE DEL AMANECER                                             
2312,CALLE                   ,DE    ,AMANIEL                                         ,40700,1.0,CALLE DE AMANIEL                                               
