,Codigo de via,Clase de la via,Particula de la via,Nombre de la via,Numero inicial del tramo,Numero final del tramo,Codigo postal
9715,312150,%CALLE%,DE    ,%FRESNEDILLAS%,12,9998,28035
9716,312300,%CALLE%,DEL   ,%FRESNO%,1,9999,28017
9717,312300,%CALLE%,DEL   ,%FRESNO%,2,9998,28017
9718,312400,%CALLE%,DE    ,%FRESNO DE LA VEGA%,1,9999,28043
9719,312400,%CALLE%,DE    ,%FRESNO DE LA VEGA%,2,9998,28043
9720,312600,%CALLE%,DE    ,%FRIAS%,1,9999,28042
9721,312600,%CALLE%,DE    ,%FRIAS%,2,9998,28042
9722,312700,%CALLE%,DE    ,%FRUELA%,1,9999,28011
9723,312700,%CALLE%,DE    ,%FRUELA%,2,9998,28011
9724,312800,%CALLE%,DE    ,%FUCAR%,1,7,28014
9725,312800,%CALLE%,DE    ,%FUCAR%,9,9999,28014
9726,312800,%CALLE%,DE    ,%FUCAR%,2,10,28014
9727,312800,%CALLE%,DE    ,%FUCAR%,12,9998,28014
9728,312900,%CALLE%,DE    ,%FUEMBELLIDA%,1,9999,28022
9729,312900,%CALLE%,DE    ,%FUEMBELLIDA%,2,9998,28022
9730,313000,%CALLE%,DE    ,%FUENCALIENTE%,1,9999,28017
9731,313000,%CALLE%,DE    ,%FUENCALIENTE%,2,9998,28017
9732,313100,%CALLE%,DE    ,%FUENCARRAL%,1,43,28004
9733,313100,%CALLE%,DE    ,%FUENCARRAL%,45,73,28004
9734,313100,%CALLE%,DE    ,%FUENCARRAL%,75,107,28004
9735,313100,%CALLE%,DE    ,%FUENCARRAL%,109,129,28010
9736,313100,%CALLE%,DE    ,%FUENCARRAL%,131,9999,28010
9737,313100,%CALLE%,DE    ,%FUENCARRAL%,2,42,28004
9738,313100,%CALLE%,DE    ,%FUENCARRAL%,44,72,28004
9739,313100,%CALLE%,DE    ,%FUENCARRAL%,74,110,28004
9740,313100,%CALLE%,DE    ,%FUENCARRAL%,112,132,28010
9741,313100,%CALLE%,DE    ,%FUENCARRAL%,134,9998,28010
9742,313200,%CAMINO%,DE    ,%FUENCARRAL%,1,9999,28035
9743,313200,%CAMINO%,DE    ,%FUENCARRAL%,2,9998,28035
9744,313350,%CALLE%,DE    ,%FUENCEMILLAN%,1,19,28022
9745,313350,%CALLE%,DE    ,%FUENCEMILLAN%,21,9999,28022
9746,313350,%CALLE%,DE    ,%FUENCEMILLAN%,2,22,28022
9747,313350,%CALLE%,DE    ,%FUENCEMILLAN%,24,9998,28022
9748,313425,%CARRETERA%,DE    ,%FUENCARRAL A ALCOBENDAS%,1,9999,28049
9749,313425,%CARRETERA%,DE    ,%FUENCARRAL A ALCOBENDAS%,2,9998,28049
9750,313500,%CARRETERA%,DE    ,%FUENCARRAL A HORTALEZA%,1,9999,28050
9751,313500,%CARRETERA%,DE    ,%FUENCARRAL A HORTALEZA%,2,9998,28050
9752,313900,%CALLE%,DE    ,%FUENDETODOS%,1,9999,28047
9753,313900,%CALLE%,DE    ,%FUENDETODOS%,2,9998,28047
9754,314100,%CALLE%,DE    ,%FUENGIROLA%,1,3,28018
9755,314100,%CALLE%,DE    ,%FUENGIROLA%,5,9999,28018
9756,314100,%CALLE%,DE    ,%FUENGIROLA%,2,6,28018
9757,314100,%CALLE%,DE    ,%FUENGIROLA%,8,9998,28018
9758,314200,%CALLE%,DE    ,%FUENLABRADA%,1,9999,28019
9759,314200,%CALLE%,DE    ,%FUENLABRADA%,2,9998,28019
9760,314250,%CALLE%,DE    ,%FUENSALIDA%,1,9999,28035
9761,314250,%CALLE%,DE    ,%FUENSALIDA%,2,9998,28035
9762,314300,%CALLE%,DE    ,%FUENSAVI�AN%,1,9999,28022
9763,314300,%CALLE%,DE    ,%FUENSAVI�AN%,2,9998,28022
9764,314500,%CALLE%,DE LA ,%FUENTE%,1,9999,28021
9765,314500,%CALLE%,DE LA ,%FUENTE%,2,9998,28021
9766,314725,%CALLE%,DE LA ,%FUENTE DE ARAVACA%,1,9999,28023
9767,314725,%CALLE%,DE LA ,%FUENTE DE ARAVACA%,2,9998,28023
9768,314750,%CAMINO%,DE LA ,%FUENTE DE ARRIBA%,1,9999,28032
9769,314750,%CAMINO%,DE LA ,%FUENTE DE ARRIBA%,2,9998,28032
9770,314900,%CALLE%,DE LA ,%FUENTE DEL BERRO%,1,19,28009
9771,314900,%CALLE%,DE LA ,%FUENTE DEL BERRO%,21,9999,28009
9772,314900,%CALLE%,DE LA ,%FUENTE DEL BERRO%,2,14,28009
9773,314900,%CALLE%,DE LA ,%FUENTE DEL BERRO%,16,9998,28009
9774,315000,%CALLE%,DE LA ,%FUENTE DE LA CAPONA%,1,9999,28021
9775,315000,%CALLE%,DE LA ,%FUENTE DE LA CAPONA%,2,9998,28021
9776,315050,%CALLE%,DE LA ,%FUENTE DEL CAROLO%,1,9999,28023
9777,315050,%CALLE%,DE LA ,%FUENTE DEL CAROLO%,2,9998,28023
9778,315060,%CALLE%,DE LA ,%FUENTE CARRANTONA%,1,3,28030
9779,315060,%CALLE%,DE LA ,%FUENTE CARRANTONA%,5,5,28030
9780,315060,%CALLE%,DE LA ,%FUENTE CARRANTONA%,7,13,28030
9781,315060,%CALLE%,DE LA ,%FUENTE CARRANTONA%,15,23,28030
9782,315060,%CALLE%,DE LA ,%FUENTE CARRANTONA%,25,37,28030
9783,315060,%CALLE%,DE LA ,%FUENTE CARRANTONA%,39,41,28030
9784,315060,%CALLE%,DE LA ,%FUENTE CARRANTONA%,43,9999,28030
9785,315060,%CALLE%,DE LA ,%FUENTE CARRANTONA%,2,4,28030
9786,315060,%CALLE%,DE LA ,%FUENTE CARRANTONA%,6,8,28030
9787,315060,%CALLE%,DE LA ,%FUENTE CARRANTONA%,10,20,28030
9788,315060,%CALLE%,DE LA ,%FUENTE CARRANTONA%,22,32,28030
